date,hour,minute,city_area,ufo_shape,description,longitude,latitude,weekdats,month_name
2010-03-31,20,00,annandale,light,star like light that moved and changed directions in hunterdon county&#44 NJ,-74.8816667,40.6408333,Wednesday,March
2014-03-31,02,00,bergenfield,light,Star like UFO.,-73.9977778,40.9275,Monday,March
2012-03-05,19,58,blackwood,flash,A green flash of light zoomed through the sky above a park in Blackwood&#44 NJ; it completely disappeared within seconds.,-75.0644444,39.8022222,Monday,March
2012-03-05,20,10,rockaway,fireball,Blue white fireball seen in WSW sky in NJ.,-74.5147222,40.9011111,Monday,March
2013-03-05,18,30,berkley,circle,Illuminated round orb like object jetted very fast&#44 quick and low over my car on GSP South between Berkley and Toms River exits.,-74.19,39.945833,Tuesday,March
2010-03-06,21,30,englewood,circle,a ball of light shot into clear view paused for a second&#44 then sped into outer space at about a million miles per hour.,-73.9730556,40.8927778,Saturday,March
2011-03-06,10,28,mahwah,other,UFO hovering over mine shaft caught it from 35 yards away with my iPhone,-74.1441667,41.0886111,Sunday,March
2011-03-08,18,30,belle mead,light,Glowing orb ascended from my woods&#44 hovered above the trees&#44 trailed behind a plane&#44 stopped&#44 than finally disappeared.,-74.6611111,40.4666667,Tuesday,March
2012-03-09,05,30,carteret,chevron,Possible UFO in area with a history of reported UFO sightings,-74.2286111,40.5772222,Friday,March
2014-04-11,23,00,north plainfield,light,Large blue light observed traveling at a slow steady course from north to south over northern New Jersey.,-74.4277778,40.63,Friday,April
2014-04-01,19,00,deptford,changing,Sparkling strings of lights floating in the sky.,-75.122778,39.819722,Tuesday,April
2014-04-01,19,29,lawrenceville,circle,Fiery ball evading jet.,-74.73,40.2972222,Tuesday,April
2012-04-12,20,00,lakewood,fireball,Green-white round light with streak behind in south east sky over airport,-74.2180556,40.0977778,Thursday,April
2010-04-13,22,45,jersey city,light,A light appeared and shot across a small portion of the sky over the statue of liberty in an arc and then disappeared.,-74.0780556,40.7280556,Tuesday,April
2011-04-14,21,00,egg harbor township,triangle,Large triangle with lights&#44 making a low humming noise floated very slowly about 150 feet above the ground.,-74.593889,39.391111,Thursday,April
2011-04-14,23,37,clayton,light,soft pale peach light ascended slowly controlled from 68 degrees near ursa major and SHOT OFF vanished out of sight like shooting star&#33,-75.0925,39.66,Thursday,April
2014-04-14,12,50,manalapan,cylinder,UFO sighting in suburban NJ&#44 close enough to see the shape&#44 details and color of the object.,-74.3961111,40.2572222,Monday,April
2014-04-16,20,20,deptford,diamond,Diamond shaped UFO hovering in the sky witnessed by 8 people.,-75.122778,39.819722,Wednesday,April
2013-04-17,10,15,little falls,diamond,Twinkling ufo in sky.,-74.2086111,40.8688889,Wednesday,April
2013-04-17,21,30,brick,circle,White circular object with trail over head than vanishes into night sky &#33,-74.137183,40.057838,Wednesday,April
2014-04-17,20,00,florham park,diamond,Orange diamond &quot;kite&quot; like object spotted over NJ.,-74.3886111,40.7877778,Thursday,April
2014-04-17,22,00,west milford,triangle,I was riding in the car with my mom and out of no where this triangular spaceship flies very low right over our car. It had 4 lights in,-75.095,40.5686111,Thursday,April
2014-04-19,23,00,neptune,sphere,3 glowing bright Red/orange orbs fading out and reapearing in same location.,-74.038627,40.209122,Saturday,April
2013-04-21,23,30,monroe twp,circle,Bright circle moving across the sky,-74.433047,40.336419,Sunday,April
2014-04-21,08,40,glen rock,triangle,Looked up and saw one object hovering then a second but had white likes then a third joined them which had a green light.,-74.1333333,40.9627778,Monday,April
2011-04-02,23,00,parsippany (west of),other,It looked like a large gray wreath with small scattered lights&#44 a few miles southwest of Parsippany&#44 NJ 4/2/11.,-74.4263889,40.8577778,Saturday,April
2010-04-23,15,40,westwood,other,Pyramidal Craft over Westwood NJ,-74.0330556,40.9911111,Friday,April
2010-04-24,23,50,cranford,light,We saw the government reaction to the lights after seeing the lights.  ((NUFORC Note:  This may not be a serious-minded report.  PD)),-74.3,40.6583333,Saturday,April
2013-04-24,03,30,manchester,circle,Brilliant light in sky&#44 switched to pulsating red and blue&#44 then ascended.,-74.339282,39.97117,Wednesday,April
2013-04-25,21,15,leonardo,sphere,Two very large orange spheres/circles sat motionless in the sky over the Sandy Hook Bay,-74.0625,40.4172222,Thursday,April
2014-04-25,05,00,newark,disk,I witnessed this event that took place&#44 have definitely cited previous ufo activity in the sky seeing two obejcts. I know what I saw.,-74.1727778,40.7355556,Friday,April
2014-04-26,20,15,riverside,diamond,Floating fire ball object in the shape of a diamond.,-74.9577778,40.0322222,Saturday,April
2014-04-26,23,30,manahawkin,triangle,Illuminated Fast moving objects in triangle formation moving low across night sky.,-74.2591667,39.6952778,Saturday,April
2013-04-27,04,30,alloway,light,I woke up right after being sound asleep from a weird dream. Went downstairs in the house to get a snack right after i woke up. Walked,-75.3627778,39.5608333,Saturday,April
2013-04-27,21,45,sicklerville,light,Red lights and grey objects floating in and across the sky after disappearing.,-74.9697222,39.7172222,Saturday,April
2013-04-27,21,50,sewell,formation,Over 100 lights in formation traveled from east to west slowly at a low elevation.,-75.1447222,39.7663889,Saturday,April
2014-04-27,22,00,sparta,light,Cluster of bright orange orb like lights in the night sky.,-74.6388889,41.0333333,Sunday,April
2014-04-27,22,00,sparta,light,While driving I noticed 30-50 orange orbs in the sky that moved in Z formations and then vanished.,-74.6388889,41.0333333,Sunday,April
2011-04-28,09,30,hopatcong,unknown,It was white&#44 almost big (but not huge&#44 smaller than big)&#44 made noise when it fell&#44 lumpy (looked like more than one thing&#44 not sure),-74.6597222,40.9327778,Thursday,April
2013-04-28,21,00,bayonne,light,We observed 1 object which was bright red traveling at a high speed past any planes that were in the area. The object stopped and then,-74.1147222,40.6686111,Sunday,April
2012-04-29,01,00,newark,fireball,Green fireball seen over Newark&#44 NJ,-74.1727778,40.7355556,Sunday,April
2011-04-30,23,00,kenilworth,circle,White light spliting into 3 over Kenilworth NJ,-74.2911111,40.6763889,Saturday,April
2013-04-30,22,28,carteret,triangle,Large triangle object with rotating colored lights&#44 motionless.,-74.2286111,40.5772222,Tuesday,April
2013-04-30,23,10,carteret,triangle,Craft still in sky in same position as 1 hour ago.  ((NUFORC Note:  Possible star??  PD)),-74.2286111,40.5772222,Tuesday,April
2012-04-03,10,00,union,unknown,Ufos Over NJ/NYC,-74.2636111,40.6975,Tuesday,April
2012-04-06,14,00,passaic,diamond,Silver and blue color,-74.1288889,40.8566667,Friday,April
2014-04-06,20,30,edison,flash,Multiple flashing lights.,-74.4125,40.5186111,Sunday,April
2011-04-09,22,05,asbury park,triangle,My wife and I were watching TV at approximately 10:05pm when my wife looked out our bedroom window and noticed a strange object in the,-74.0125,40.2202778,Saturday,April
2010-05-10,21,00,knowlton,light,~A close friend and I were outside; observed a bright object in the sky.  ((NUFORC Note:  Venus?  PD),-75.0283333,40.9302778,Monday,May
2013-05-10,13,00,lumberton,disk,2 objects white disk and stealth bomber shape.,-74.8055556,39.9658333,Friday,May
2012-05-12,23,00,chatham,fireball,Reddish/orange orb moving at steady speed across,-74.3841667,40.7408333,Saturday,May
2013-05-13,21,00,northfield,light,I saw what at first looked to me like a small fire flying absolutely silently through the sky. It did not blink; was silent.,-74.5505556,39.3702778,Monday,May
2010-05-15,19,45,bayonne,light,A strange light/object that accelerated and changed altitude suddenly.,-74.1147222,40.6686111,Saturday,May
2010-05-15,20,30,west trenton,light,Static bright light witnessed on two separate nights.  ((NUFORC Note:  If in the NW sky&#44 probably Venus.  PD)),-74.7433333,40.2169444,Saturday,May
2010-05-15,21,30,somers point,light,I went outside to look at Venus and the Crescent Moon and caught a look at a light that appeared to be an airplane.  I followed the lig,-74.595,39.3175,Saturday,May
2012-05-15,20,00,oakhurst,flash,See above,-74.0166667,40.2708333,Tuesday,May
2012-05-19,02,00,marlton,sphere,Marlton &#44 NJ  2 am 5/19/12   three orange orbs in straight line formation flying west to east,-74.9222222,39.8911111,Saturday,May
2012-05-19,22,00,sicklerville,other,((HOAX??))  Two flying green human looking objects  with a slender looking female body&#44 with butterfly wings arms and leggs.,-74.9697222,39.7172222,Saturday,May
2010-05-20,21,40,springfield,triangle,Two of us saw a very large UFO for 10 minutes&#44not moving and silent.,-74.3111111,40.7230556,Thursday,May
2013-05-20,23,00,hoboken,oval,2 people standing in same place and one sees UFO and other doesn&#39t but photos tell what she saw was real,-74.0327778,40.7438889,Monday,May
2011-05-21,01,00,magnolia,sphere,Bright Sphere,-75.0394444,39.8544444,Saturday,May
2010-05-02,19,45,howell,circle,Round &#44Black and silent,-74.208267,40.164579,Sunday,May
2013-05-27,08,30,wildwood,light,Orange glowing orb floating in the sky.,-74.8152778,38.9916667,Monday,May
2013-05-27,10,00,west new york,other,Very clear high quality shots of a UFO over West New York. This is not a joke.,-73.971249,40.78306,Monday,May
2011-05-28,18,00,north wildwood,fireball,fire ball,-74.7997222,39.0005556,Saturday,May
2011-05-28,21,15,port republic,fireball,Bright red glowing object in Port Republic&#44 NJ (small town),-74.4861111,39.5205556,Saturday,May
2011-05-29,23,00,lake como,circle,Ball of FIre over Lake Como&#44 NJ,-74.0286111,40.1597222,Sunday,May
2012-05-04,09,00,bernardsville,unknown,Hearing strange sounds,-74.5697222,40.7186111,Friday,May
2012-05-04,20,45,bernardsville,unknown,Bright light and strange sounds,-74.5697222,40.7186111,Friday,May
2011-05-05,21,00,brick,fireball,fireball spins&#44 pulsates and changes colors very fast.  ((NUFORC Note:  Possible twinkling star&#44 we wonder.  PD)),-74.137183,40.057838,Thursday,May
2011-05-05,23,00,barnegat,unknown,two red blinking lights moving very slowly than dissappeared,-74.2233333,39.7530556,Thursday,May
2013-05-08,22,10,egg harbor township,fireball,A.C expressway lights,-74.593889,39.391111,Wednesday,May
2010-05-09,20,30,pleasantville,light,Lights in the Sky,-74.5244444,39.3897222,Sunday,May
2010-05-09,20,30,pleasantville,light,Star-like object in the sky.,-74.5244444,39.3897222,Sunday,May
2013-06-01,21,00,bayonne,sphere,Orange orb over Bayonne&#44 NJ.,-74.1147222,40.6686111,Saturday,June
2012-06-12,23,00,westwood,chevron,Saw craft coming from NYC and it had a large dome light on it. Dome light went off and it went behind a cloud and never appeared again.,-74.0330556,40.9911111,Tuesday,June
2010-06-14,22,15,hewitt,light,White spec of light high up in sky that brightly flashes &amp; disappears,-74.3111111,41.1416667,Monday,June
2011-06-15,04,15,warren,triangle,Bright White Light Encountered and Investigated.....,-74.50048,40.634249,Wednesday,June
2012-06-15,21,30,hillsdale,fireball,Orange fireballs in triangular formation in evening sky over Northern Bergen County on June 15&#44 2012,-74.0408333,41.0025,Friday,June
2013-06-15,21,05,whiting,circle,I witnessed a latern-like orb of fire hovering quietly through the sky.,-74.3788889,39.9544444,Saturday,June
2010-06-16,22,30,cape may courthouse,disk,dimly lit disc shaped object flying east to west makes a hard 70degree turn at unimaginable speed,-74.823779,39.082614,Wednesday,June
2012-06-16,23,45,woodbury heights,circle,Bright red object fades to black&#44 appears circular and is silent.,-75.1555556,39.8169444,Saturday,June
2011-06-17,00,00,tinton falls,circle,Shaped flying saucer with brite multi colored lights blinking around it&#44 then turns into grey blimp&#44 then disappears,-74.1008333,40.3041667,Friday,June
2011-06-17,21,00,wharton,triangle,Bright red UFO spotted over Northern New Jersey,-74.5822222,40.8930556,Friday,June
2010-06-18,22,15,cape may courthouse,unknown,object with one flashing white light flying very erratically moves impossibly fast in impossible fashion,-74.823779,39.082614,Friday,June
2011-06-19,20,15,clifton,circle,Dots over Clifton&#44 NJ,-74.163755,40.858433,Sunday,June
2011-06-19,23,45,parsippany,other,A hazy wave-shaped&#44 orange and yellow light with a sharply defined white orb hovering bellow it in the skies of NJ,-74.4263889,40.8577778,Sunday,June
2011-06-19,23,45,parsippany,other,A boomerang-shaped object with yellow&#44 orange&#44 red lights&#44 the size of a baseball field&#44 hovered in sky with  white orb moving around.,-74.4263889,40.8577778,Sunday,June
2013-06-20,22,00,beach haven west,light,Bright white ball&#44 no noise or flashing lights.  ((NUFORC Note:  Possible sighting of the ISS.  PD)),-74.2322222,39.6697222,Thursday,June
2013-06-20,22,20,west deptford,fireball,Yellow/orange fire ball seen moving across sky in New Jersey.,-75.122778,39.819722,Thursday,June
2010-06-21,23,00,trenton,triangle,green lights moving at high speed over trenton new jersey.,-74.7433333,40.2169444,Monday,June
2010-06-02,22,00,jersey city,light,I saw an erratic flying object with a red blinking light. It was traveling west to east in the northern sky. It flew straight for a sho,-74.0780556,40.7280556,Wednesday,June
2012-06-22,23,00,pittstown,light,Three orange lights moving around in sky.,-74.9594444,40.5819444,Friday,June
2012-06-22,23,00,pittstown,light,Triangular formation of orange&#44 maybe red lights in the sky.,-74.9594444,40.5819444,Friday,June
2010-06-23,20,04,kendall park,oval,I looked to the right of my backyard and saw a oval shaped object in the sky,-74.5611111,40.4208333,Wednesday,June
2012-06-23,01,00,forked river,triangle,Triangle shaped object in the sky at 1:48am with blinking lights&#44 flies straight up into the sky,-74.1905556,39.8397222,Saturday,June
2012-06-23,22,11,sewell,light,Large star ufo,-75.1447222,39.7663889,Saturday,June
2010-06-24,21,15,eatontown,fireball,Bright&#44 very brief streak of light on Rt 18 North Near Eatontown.  ((NUFORC Note:  Possible meteor??  PD)),-74.0513889,40.2961111,Thursday,June
